incident_id,crime_type,district,city,state,address,latitude,longitude,incident_datetime,officer_id,officer_first_name,officer_last_name,badge_number,suspect_id,suspect_first_name,suspect_last_name,suspect_age,suspect_gender,suspect_race,victim_id,victim_first_name,victim_last_name,victim_age,victim_gender,victim_phone,severity,resolution,num_arrests,property_loss_usd,reported_online,notes,weapon_used_blunt object,weapon_used_firearm,weapon_used_gun,weapon_used_hands,weapon_used_hands/feet,weapon_used_knife,weapon_used_pistol,weapon_used_rifle,weapon_used_unarmed,weapon_used_unknown,case_status_investgation,case_status_open,case_status_pending,case_status_pendng,case_status_resolved,case_status_under investigation,case_status_unknown
INC001115,asslt,Sou,Maplewood,GA,2830 Cedar Lane,170.2841,-77.50071,2024-04-16 08:45:03,OFF0078,Emily,Davis,1342.0,SUS00281,Barbara,Thomas,51.0,MALE,asian,VIC00642,Robert,Torres,51.0,Unknown,6223265920,2,No Arrest,2.0,23681.434999999998,True,Incident at 2830 Cedar Lane. Officer responded at scene.,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
INC004706,burglary, southeast,Maplewood,OH,2361 Park Rd,29.422717,-77.167016,2022-01-11 22:03:29,OFF0059,Michelle,Green,5133.0,SUS00376,Barbara,Harris,-28.0,Other,Black,VIC00262,John,Martin,231.0,Unknown,241-973-4826,3,Unknown,2.0,44839.49,yes,Incident at 2361 Park Rd. Officer responded at scene.,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
INC002249,Homocide,Southwest  ,Lakewood,AZ,1067 Main St,39.41146,-98.615298,2022-04-14 11:39:24,OFF0088,Michael,White,7781.0,SUS00560,Richard,Scott,19.0,F,asian,VIC00518,Richard,Hill,29.0,Other,244-584-7696,1,warning,2.0,15963.38,YES,Incident at 1067 Main St. Officer responded at scene.,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
INC000021,Property Damage,Cen,Springfield,AZ,4713 Washington Ave,28.633439,-99.030051,2020-12-09 15:14:24,OFF0077,Chris,Jackson,5097.0,SUS00468,Michael,Thomas,262.0,MALE,Black,VIC00243,Susan,Young,243.0,Unknown,5021227484,Low,Unknown,5.0,48680.14,False,Incident at 4713 Washington Ave. Officer responded at scene.,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
INC000488,Domestc Violence, North,Lakewood,PA,1371 River Rd,34.21785,-121.614731,2021-07-24 20:08:13,OFF0083,Susan,Flores,6220.0,SUS00751,Thomas,Jackson,75.0,female,white,VIC00512,Thomas,Thomas,51.0,M,9698766873,MEDIUM,Warning Issued,2.0,23513.01,YES,Missing,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
INC000661,Breaking & Entering,East  ,Hillcrest,CA,3551 Elm Blvd,44.438603,-101.775119,05-03-2020,OFF0089,Jennifer,Green,7082.0,SUS00454,James,Lee,73.0,Unknown,White,VIC00473,Anthony,Wilson,15.0,Unknown,590-332-6488,high,arrest made,1.0,23681.434999999998,YES,Incident at 3551 Elm Blvd. Officer responded at scene.,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INC001727,robbery,southeast,Maplewood,TX,7394 Cedar Lane,38.525825,-90.100219,2021-10-03 05:17:02,OFF0141,Jennifer,Harris,7747.0,SUS00623,Carol,Harris,58.0,Female,Unknown,VIC00429,Mary,Walker,72.0,female,431-579-6170,Unknown,warning,3.0,23681.434999999998,YES,Incident at 7394 Cedar Lane. Officer responded at scene.,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
INC003981,manslaughter,midtown,Centerville,IL,1610 River Rd,46.854678,-99.512808,2023-09-30 14:49:01,OFF0008,Karen,Hall,7869.0,SUS00533,Jennifer,Taylor,73.0,MALE,White,VIC00904,David,Torres,50.0,female,587-505-1798,1,No Arrest,2.0,19075.36,no,Incident at 1610 River Rd. Officer responded at scene.,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
INC001205,B&E,East  ,Centerville,OH,378 Oak Ave,38.869063,-114.385749,2021-01-22 02:37:24,OFF0034,Daniel,Jackson,8229.0,SUS00320,Robert,Hill,26.0,m,Hispanic,VIC00093,Mary,Lee,55.0,Other,3956212676,Crit,warning,0.0,34452.47,yes,Incident at 378 Oak Ave. Officer responded at scene.,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
INC000972,Homocide,northeast,Riverside,IL,8974 Park Rd,42.018768,-72.384742,2021-03-29 04:16:18,OFF0093,Mary,Thompson,7242.0,0,Missing,Missing,46.0,Unknown,Unknown,VIC00859,Michelle,Hill,10.0,Unknown,376-440-3132,2,Unknown,5.0,35339.52,Unknown,Missing,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
INC002898,Property Damage,CENTRAL,Oakdale,NY,9798 Elm Blvd,36.632099,-104.196302,2020-03-03 06:46:12,OFF0035,John,Jones,9036.0,SUS00005,Ashley,Harris,49.0,FEMALE,BLACK,VIC00682,Mark,Young,47.0,Unknown,596-444-9767,High,Unknown,0.0,27438.67,False,Incident at 9798 Elm Blvd. Officer responded at scene.,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
INC003264,Narcotics,central,Fairview,AZ,8650 Elm Blvd,46.424282,-120.996678,2018-09-09 02:11:36,OFF0111,Donna,Thompson,4688.0,0,Missing,Missing,46.0,Unknown,Unknown,VIC00084,Anthony,Nguyen,35.0,Unknown,855-624-8658,low,Unknown,-5.0,41738.8,Yes,Missing,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
INC003052,Burglry,Eas,Hillcrest,OH,5420 River Rd,47.020966,-83.072251,2020-07-04 13:31:15,OFF0104,James,Taylor,5571.5,SUS00783,Anthony,Martin,33.0,M,Asian,VIC00960,Mark,Taylor,55.0,male,832-278-8736,Critical,warning,2.0,-34291.84,No,Incident at 5420 River Rd. Officer responded at scene.,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
INC000524,THEFT,Northeast  ,Centerville,FL,6121 Oak Ave,44.872436,-106.852051,2023-07-30 09:05:34,OFF0014,Joseph,Smith,4335.0,SUS00236,Thomas,Jones,162.0,female,hispanic,VIC00569,Robert,Scott,-41.0,male,655-760-3556,4,Unknown,2.0,3201.56,1,Incident at 6121 Oak Ave. Officer responded at scene.,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
INC000560,Fraudulent Activity,midtown,Centerville,OH,5094 Main St,28.121432,-84.979481,04/01/2020 03:09,OFF0046,Donna,Thompson,8121.0,SUS00074,Daniel,Thompson,52.0,Other,white,VIC00821,Barbara,Johnson,26.0,M,Missing,3,warning,3.0,37228.41,1,Incident at 5094 Main St. Officer responded at scene.,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
INC000812,Drug Offense,Nor,Riverside,CA,5556 River Rd,47.561353,-85.069404,2020-11-26 07:15:19,OFF0133,emily,Nguyen,8079.0,SUS00606,Chris,Garcia,21.0,m,Asian,VIC00071,Daniel,Jackson,82.0,female,628-122-3246,High,NO ARREST,2.0,41473.0,YES,Missing,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
INC003999,Armed Robbery, Southeast,Centerville,PA,6637 Lincoln St,25.262347,-73.445871,2021-11-05 17:21:18,OFF0097,Ashley,Davis,6651.0,SUS00776,Joseph,Brown,18.0,male,BLACK,VIC00676,Linda,Nguyen,50.0,Female,897-102-9006,Unknown,Unknown,3.0,23681.434999999998,1,Incident at 6637 Lincoln St. Officer responded at scene.,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
INC003972,Arsen,SOUTHWEST,Centerville,IL,3221 Cedar Lane,25.80811,-106.368949,2022-10-07 17:15:25,OFF0141,Charles,Nguyen,7634.0,0,Missing,Missing,46.0,Unknown,Unknown,VIC00846,Donna,Jackson,82.0,F,924-985-8530,CRITICAL,Warning Issued,4.0,23681.434999999998,yes,Incident at 3221 Cedar Lane. Officer responded at scene.,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
INC000949,Abduction,North,Maplewood,CA,5783 Main St,40.614362,-80.606867,2024-11-23 19:30:48,OFF0020,Susan,Walker,2599.0,SUS00636,Richard,Wright,57.0,Unknown,Unknown,VIC00228,Mary,Walker,49.0,MALE,Missing,Medium,No Arrest,2.0,31931.65,Unknown,Incident at 5783 Main St. Officer responded at scene.,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
INC002839,Graffiti, East,Hillcrest,FL,5563 Lincoln St,31.366741,-81.476181,2018-08-26 04:50:54,OFF0050,John,Smith,9830.0,SUS00294,Michael,Jones,51.0,F,Hispanic,VIC00850,David,Williams,50.0,m,Missing,2,Warning Issued,0.0,6546.79,Unknown,Incident at 5563 Lincoln St. Officer responded at scene.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
INC002859,Trespass,Mid,Maplewood,PA,1522 Lincoln St,43.213574,-112.532649,2019-10-15 08:23:45,OFF0020,Joseph,Walker,6621.0,SUS00207,Mary,Brown,42.0,Female,Hispanic,VIC00225,Patricia,Green,12.0,MALE,527-108-7397,low,Dismissed,5.0,26845.31,1,Incident at 1522 Lincoln St. Officer responded at scene.,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
INC004651,CYBER CRIME,  EAST  ,Oakdale,OH,3806 Washington Ave,39.701184,60.9112,2020-03-20 14:28:36,OFF0059,Sarah,Martin,5314.0,SUS00385,James,Young,35.0,Male,BLACK,VIC00777,Donna,Young,55.0,f,701-395-6824,4,warning,3.0,2167.35,no,Incident at 3806 Washington Ave. Officer responded at scene.,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
INC003793,Armed Robbery, South,Lakewood,CA,3852 River Rd,35.044905,-83.999129,2019-01-04 05:16:46,OFF0064,Jessica,Walker,9763.0,SUS00630,Donna,Harris,46.0,male,BLACK,VIC00208,Richard,Anderson,50.0,Male,Missing,MEDIUM,Arrest Made,3.0,38573.92,NO,Incident at 3852 River Rd. Officer responded at scene.,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
